DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2020-07-28,2105.0,2108.15,2042.25,2055.2,2550.1,1385.0,FINEORG
2020-07-27,2045.0,2104.9,2000.0,2086.1,2550.1,1385.0,FINEORG
2020-07-24,2052.0,2066.6,2024.6,2034.9,2550.1,1380.15,FINEORG
2020-07-23,2090.0,2109.95,2025.25,2069.0,2550.1,1380.15,FINEORG
2020-07-22,2140.6,2140.6,2081.1,2089.95,2550.1,1380.15,FINEORG
2020-07-21,2110.6,2140.0,2110.0,2125.2,2550.1,1380.15,FINEORG
2020-07-20,2113.0,2157.8,2080.0,2091.2,2550.1,1380.15,FINEORG
2020-07-17,2132.0,2151.25,2110.0,2125.5,2550.1,1374.8,FINEORG
2020-07-16,2081.8,2135.2,2025.55,2126.2,2550.1,1374.8,FINEORG
2020-07-15,2147.0,2200.0,2032.0,2066.0,2550.1,1374.8,FINEORG
2020-07-14,2003.0,2159.8,1996.15,2133.9,2550.1,1374.8,FINEORG
2020-07-13,2033.45,2045.0,1980.0,1987.55,2550.1,1374.8,FINEORG
2020-07-10,1955.3,2019.0,1951.2,1994.95,2550.1,1358.45,FINEORG
2020-07-09,1925.05,2040.0,1925.05,1955.3,2550.1,1358.45,FINEORG
2020-07-08,1920.0,1960.0,1894.55,1925.1,2550.1,1358.45,FINEORG
2020-07-07,1935.0,1939.0,1883.3,1894.55,2550.1,1358.45,FINEORG
2020-07-06,1895.0,1927.95,1875.0,1915.1,2550.1,1358.45,FINEORG
2020-07-03,1880.0,1894.05,1861.0,1882.55,2550.1,1358.45,FINEORG
2020-07-02,1863.0,1899.45,1860.0,1867.0,2550.1,1358.45,FINEORG
2020-07-01,1856.0,1905.95,1854.0,1860.45,2550.1,1358.45,FINEORG
2020-06-30,1918.4,1918.4,1854.0,1864.35,2550.1,1358.45,FINEORG
2020-06-29,1905.0,1945.0,1880.1,1889.3,2550.1,1358.45,FINEORG
2020-06-26,1895.0,1923.85,1890.0,1894.7,2550.1,1321.35,FINEORG
2020-06-25,1854.0,1904.8,1854.0,1888.25,2550.1,1321.35,FINEORG
2020-06-24,1928.95,1931.05,1858.0,1868.8,2550.1,1321.35,FINEORG
2020-06-23,1929.9,1948.95,1903.0,1910.9,2550.1,1321.35,FINEORG
2020-06-22,1944.8,1944.95,1907.0,1912.55,2550.1,1321.35,FINEORG
2020-06-19,1937.9,1970.9,1925.1,1933.95,2550.1,1321.35,FINEORG
2020-06-18,1905.1,1951.0,1905.1,1921.0,2550.1,1321.35,FINEORG
2020-06-17,1969.9,1969.9,1918.0,1919.75,2550.1,1321.35,FINEORG
2020-06-16,2008.9,2008.9,1925.0,1949.75,2550.1,1321.35,FINEORG
2020-06-15,1968.0,2065.0,1937.05,1966.9,2550.1,1321.35,FINEORG
2020-06-12,1890.0,1980.95,1877.15,1940.55,2550.1,1321.35,FINEORG
2020-06-11,1969.4,1973.45,1929.95,1935.1,2550.1,1321.35,FINEORG
2020-06-10,1976.35,1987.55,1930.05,1959.75,2550.1,1321.35,FINEORG
2020-06-09,2040.05,2050.0,1960.0,1968.6,2550.1,1321.35,FINEORG
2020-06-08,2060.0,2087.3,1980.55,2036.1,2550.1,1321.35,FINEORG
2020-06-05,2053.85,2105.0,2044.0,2059.95,2550.1,1321.35,FINEORG
2020-06-04,2079.0,2121.0,2005.55,2053.55,2550.1,1321.35,FINEORG
2020-06-03,2020.0,2091.45,1999.0,2066.65,2550.1,1321.35,FINEORG
2020-06-02,1970.0,2040.0,1951.0,1998.05,2550.1,1321.35,FINEORG
2020-06-01,1969.95,1973.0,1920.0,1949.5,2550.1,1321.35,FINEORG
2020-05-29,1930.0,1955.0,1912.05,1939.0,2550.1,1321.35,FINEORG
2020-05-28,1960.0,1960.0,1911.65,1923.7,2550.1,1321.35,FINEORG
2020-05-27,1925.0,1969.3,1915.15,1937.7,2550.1,1321.35,FINEORG
2020-05-26,1947.0,1978.7,1920.0,1926.25,2550.1,1321.35,FINEORG
2020-05-22,1984.0,1984.0,1921.0,1946.55,2550.1,1321.35,FINEORG
2020-05-21,1980.25,2002.8,1970.0,1974.15,2550.1,1321.35,FINEORG
2020-05-20,1936.0,2000.0,1901.0,1987.5,2550.1,1321.35,FINEORG
2020-05-19,1930.0,1946.0,1899.1,1910.25,2550.1,1321.35,FINEORG
2020-05-18,1945.0,1958.0,1875.0,1899.4,2550.1,1321.35,FINEORG
2020-05-15,1965.0,1975.0,1924.7,1951.55,2550.1,1321.35,FINEORG
2020-05-14,1940.0,1971.45,1912.9,1944.05,2550.1,1321.35,FINEORG
2020-05-13,1949.0,1960.0,1885.65,1954.3,2550.1,1321.35,FINEORG
2020-05-12,1900.0,1912.55,1825.0,1871.5,2550.1,1321.35,FINEORG
2020-05-11,1950.0,1969.0,1905.55,1912.5,2550.1,1321.35,FINEORG
2020-05-08,1975.0,2085.0,1933.0,1944.0,2550.1,1321.35,FINEORG
2020-05-07,1965.05,2009.0,1922.05,1962.75,2550.1,1321.35,FINEORG
2020-05-06,2004.95,2004.95,1957.05,1962.8,2550.1,1321.35,FINEORG
2020-05-05,1950.0,2075.0,1936.0,1975.5,2550.1,1321.35,FINEORG
2020-05-04,1977.8,1977.8,1920.0,1966.15,2550.1,1321.35,FINEORG
2020-04-30,2044.0,2050.0,2010.0,2013.5,2550.1,1321.35,FINEORG
2020-04-29,1980.0,2046.9,1971.75,1994.65,2550.1,1321.35,FINEORG
2020-04-28,2020.0,2027.9,1938.3,1960.95,2550.1,1321.35,FINEORG
2020-04-27,2019.0,2020.1,1977.25,1985.95,2550.1,1321.35,FINEORG
2020-04-24,2076.0,2076.0,1955.55,1973.65,2550.1,1300.2,FINEORG
2020-04-23,2100.0,2174.0,2030.0,2047.05,2550.1,1300.2,FINEORG
2020-04-22,2078.0,2130.75,2031.1,2093.95,2550.1,1300.2,FINEORG
2020-04-21,2100.0,2100.0,2006.55,2050.3,2550.1,1300.2,FINEORG
2020-04-20,2125.0,2140.0,2098.05,2118.1,2550.1,1300.2,FINEORG
2020-04-17,2118.3,2141.95,2080.0,2091.7,2550.1,1287.2,FINEORG
2020-04-16,2080.0,2125.0,2051.05,2080.4,2550.1,1287.2,FINEORG
2020-04-15,2090.0,2165.0,2050.0,2060.8,2550.1,1287.2,FINEORG
2020-04-13,2098.9,2117.05,2014.4,2051.4,2550.1,1287.2,FINEORG
2020-04-09,2020.0,2100.0,2010.55,2045.6,2550.1,1285.55,FINEORG
2020-04-08,1925.0,2040.0,1902.2,1965.75,2550.1,1285.55,FINEORG
2020-04-07,1920.0,1950.05,1882.35,1900.5,2550.1,1285.55,FINEORG
2020-04-03,1900.0,1904.35,1839.0,1853.2,2550.1,1240.05,FINEORG
2020-04-01,1935.0,1945.0,1856.6,1881.05,2550.1,1240.05,FINEORG
2020-03-31,1970.0,1970.0,1885.0,1906.05,2550.1,1240.05,FINEORG
2020-03-30,1900.0,1974.95,1839.05,1877.8,2550.1,1240.05,FINEORG
2020-03-27,2048.0,2074.95,1927.0,1954.5,2550.1,1200.05,FINEORG
2020-03-26,1880.0,2009.0,1842.25,1910.2,2550.1,1200.05,FINEORG
2020-03-25,1758.0,1853.95,1710.0,1830.55,2550.1,1200.05,FINEORG
2020-03-24,1578.0,1820.0,1523.85,1759.45,2550.1,1200.05,FINEORG
2020-03-23,1601.0,1788.3,1521.7,1552.8,2550.1,1200.05,FINEORG
2020-03-20,1805.0,1911.05,1771.05,1838.4,2550.1,1200.05,FINEORG
2020-03-19,1805.0,1916.95,1625.55,1823.85,2550.1,1200.05,FINEORG
2020-03-18,2080.0,2200.0,1897.55,1917.9,2550.1,1200.05,FINEORG
2020-03-17,2050.0,2134.3,2005.55,2067.55,2550.1,1200.05,FINEORG
2020-03-16,2176.0,2176.0,2001.05,2089.9,2550.1,1200.05,FINEORG
2020-03-13,1821.1,2235.0,1725.0,2176.9,2550.1,1175.0,FINEORG
2020-03-12,2072.0,2095.0,1856.0,2030.9,2550.1,1175.0,FINEORG
2020-03-11,2100.0,2206.0,2082.05,2137.45,2550.1,1175.0,FINEORG
2020-03-09,2055.55,2197.1,2055.55,2116.45,2550.1,1175.0,FINEORG
2020-03-06,2150.0,2260.0,2110.0,2223.2,2550.1,1130.1,FINEORG
2020-03-05,2156.05,2274.0,2101.1,2209.9,2550.1,1130.1,FINEORG
2020-03-04,2149.9,2170.5,2095.35,2148.4,2550.1,1130.1,FINEORG
2020-03-03,2132.0,2167.0,2060.0,2119.55,2550.1,1130.1,FINEORG
2020-03-02,2140.05,2195.4,2050.0,2132.9,2550.1,1130.1,FINEORG
2020-02-28,2120.0,2144.95,2032.2,2131.55,2550.1,1117.0,FINEORG
2020-02-27,2241.0,2244.05,2190.0,2203.9,2550.1,1117.0,FINEORG
2020-02-26,2240.0,2284.0,2220.05,2241.65,2550.1,1117.0,FINEORG
2020-02-25,2274.9,2288.25,2215.75,2241.45,2550.1,1117.0,FINEORG
2020-02-24,2186.0,2285.0,2186.0,2230.95,2550.1,1117.0,FINEORG
2020-02-20,2216.95,2276.9,2185.0,2231.75,2550.1,1085.35,FINEORG
2020-02-19,2199.9,2288.0,2190.05,2222.5,2550.1,1085.35,FINEORG
2020-02-18,2172.0,2197.6,2155.0,2184.65,2550.1,1085.35,FINEORG
2020-02-17,2228.1,2235.7,2159.95,2201.45,2550.1,1085.35,FINEORG
2020-02-14,2250.0,2325.55,2208.05,2228.1,2550.1,1045.1,FINEORG
2020-02-13,2280.0,2296.4,2230.0,2246.8,2550.1,1045.1,FINEORG
2020-02-12,2398.0,2398.0,2264.05,2278.15,2550.1,1045.1,FINEORG
2020-02-11,2504.0,2550.1,2400.0,2417.7,2550.1,1045.1,FINEORG
2020-02-10,2397.9,2495.0,2381.35,2474.2,2495.0,1045.1,FINEORG
2020-02-07,2365.0,2392.9,2365.0,2381.35,2479.0,1045.1,FINEORG
2020-02-06,2365.0,2420.55,2353.1,2373.55,2479.0,1045.1,FINEORG
2020-02-05,2373.0,2395.95,2345.0,2348.65,2479.0,1045.1,FINEORG
2020-02-04,2352.5,2374.0,2325.15,2346.7,2479.0,1045.1,FINEORG
2020-02-03,2250.0,2364.95,2250.0,2350.35,2479.0,1045.1,FINEORG
2020-02-01,2325.0,2371.1,2213.0,2240.15,2479.0,1012.0,FINEORG
2020-01-31,2385.0,2399.0,2322.8,2338.85,2479.0,1012.0,FINEORG
2020-01-30,2434.3,2451.2,2358.0,2374.2,2479.0,1012.0,FINEORG
2020-01-29,2355.0,2479.0,2314.4,2414.95,2479.0,1012.0,FINEORG
2020-01-28,2235.0,2339.8,2216.05,2297.8,2339.8,1012.0,FINEORG
2020-01-27,2240.0,2252.0,2216.0,2235.35,2284.0,1012.0,FINEORG
2020-01-24,2240.0,2270.0,2206.45,2234.55,2284.0,1012.0,FINEORG
2020-01-23,2248.0,2248.0,2206.4,2227.15,2284.0,1012.0,FINEORG
2020-01-22,2210.0,2284.0,2201.45,2239.4,2284.0,1012.0,FINEORG
2020-01-21,2225.0,2266.0,2190.0,2207.75,2266.0,1012.0,FINEORG
2020-01-20,2149.9,2237.8,2140.0,2220.3,2237.8,1012.0,FINEORG
2020-01-17,2060.0,2148.8,2041.0,2122.0,2188.0,1012.0,FINEORG
2020-01-16,2069.85,2080.7,2037.65,2045.85,2188.0,1012.0,FINEORG
2020-01-15,2076.0,2090.0,2037.65,2053.15,2188.0,1012.0,FINEORG
2020-01-14,2020.0,2073.55,2020.0,2065.35,2188.0,1012.0,FINEORG
2020-01-13,1949.0,2050.0,1945.2,2032.9,2188.0,1012.0,FINEORG
2020-01-10,1946.1,1959.85,1936.95,1940.95,2188.0,1012.0,FINEORG
2020-01-09,1925.0,1961.1,1916.1,1939.85,2188.0,1012.0,FINEORG
2020-01-08,1885.0,1959.9,1885.0,1916.8,2188.0,1012.0,FINEORG
2020-01-07,1866.0,1942.0,1866.0,1929.15,2188.0,1012.0,FINEORG
2020-01-06,1867.75,1900.0,1862.1,1886.45,2188.0,1012.0,FINEORG
2020-01-03,1906.9,1915.0,1882.65,1897.2,2188.0,1012.0,FINEORG
2020-01-02,1890.05,1919.2,1890.05,1900.35,2188.0,1012.0,FINEORG
2020-01-01,1951.95,1952.0,1890.9,1898.75,2188.0,1012.0,FINEORG
2019-12-31,1944.8,1974.0,1941.0,1945.05,2188.0,1012.0,FINEORG
2019-12-30,1959.0,1999.8,1932.0,1944.8,2188.0,1012.0,FINEORG
2019-12-27,1909.0,2008.1,1907.0,1948.1,2188.0,1012.0,FINEORG
2019-12-26,1901.55,1930.0,1880.0,1891.8,2188.0,1012.0,FINEORG
2019-12-24,1919.95,1930.0,1891.05,1900.75,2188.0,1012.0,FINEORG
2019-12-23,1949.9,1949.9,1896.85,1904.4,2188.0,1012.0,FINEORG
2019-12-20,1865.0,1983.8,1865.0,1939.1,2188.0,1012.0,FINEORG
2019-12-19,1796.0,1905.0,1783.5,1882.6,2188.0,1012.0,FINEORG
2019-12-18,1814.9,1815.0,1787.55,1795.35,2188.0,1012.0,FINEORG
2019-12-17,1797.8,1817.95,1780.0,1791.6,2188.0,1012.0,FINEORG
2019-12-16,1812.0,1821.35,1775.0,1782.9,2188.0,1012.0,FINEORG
2019-12-13,1800.0,1825.0,1794.0,1811.25,2188.0,1012.0,FINEORG
2019-12-12,1801.1,1859.0,1794.0,1798.85,2188.0,1012.0,FINEORG
2019-12-11,1846.1,1849.1,1790.0,1796.5,2188.0,1012.0,FINEORG
2019-12-10,1874.25,1877.7,1821.25,1856.8,2188.0,1012.0,FINEORG
2019-12-09,1900.35,1903.0,1868.0,1876.65,2188.0,1012.0,FINEORG
2019-12-06,1924.0,1924.0,1855.05,1891.15,2188.0,1012.0,FINEORG
2019-12-05,1884.95,1925.0,1872.05,1901.0,2188.0,1012.0,FINEORG
2019-12-04,1796.0,1890.0,1791.0,1867.2,2188.0,1012.0,FINEORG
2019-12-03,1795.0,1816.0,1779.95,1795.0,2188.0,1012.0,FINEORG
2019-12-02,1823.0,1830.35,1760.0,1793.3,2188.0,1012.0,FINEORG
2019-11-29,1870.0,1880.0,1782.2,1823.1,2188.0,1012.0,FINEORG
2019-11-28,1873.9,1906.0,1843.35,1870.0,2188.0,1012.0,FINEORG
2019-11-27,1875.0,1910.0,1865.0,1874.85,2188.0,1012.0,FINEORG
2019-11-26,1998.0,1998.0,1825.0,1871.45,2188.0,1012.0,FINEORG
2019-11-25,1993.2,2001.05,1940.8,1996.1,2188.0,1012.0,FINEORG
2019-11-22,2054.0,2071.95,1952.0,1977.35,2188.0,1012.0,FINEORG
2019-11-21,2050.0,2112.35,2040.0,2042.9,2188.0,1012.0,FINEORG
2019-11-20,2038.0,2071.0,2027.35,2048.8,2188.0,1012.0,FINEORG
2019-11-19,2042.95,2095.05,1995.8,2018.1,2188.0,1012.0,FINEORG
2019-11-18,1968.0,2048.0,1939.95,2026.95,2188.0,1012.0,FINEORG
2019-11-15,1928.0,1972.0,1901.0,1944.5,2188.0,1012.0,FINEORG
2019-11-14,1949.8,2188.0,1890.0,1926.0,2188.0,1012.0,FINEORG
2019-11-13,1956.0,1963.0,1861.1,1889.5,2076.9,1012.0,FINEORG
2019-11-11,1899.35,1998.0,1899.35,1956.25,2076.9,1012.0,FINEORG
2019-11-08,1938.7,1938.7,1885.0,1893.85,2076.9,1012.0,FINEORG
2019-11-07,1905.0,1940.0,1905.0,1932.5,2076.9,1012.0,FINEORG
2019-11-06,1928.0,1949.9,1906.25,1918.15,2076.9,1012.0,FINEORG
2019-11-05,1881.0,1937.8,1881.0,1917.75,2076.9,1012.0,FINEORG
2019-11-04,1877.05,1916.6,1877.05,1911.65,2076.9,1012.0,FINEORG
2019-11-01,1890.3,1919.0,1866.35,1881.1,2076.9,1012.0,FINEORG
2019-10-31,1929.1,1945.75,1890.0,1899.4,2076.9,1012.0,FINEORG
2019-10-30,1933.9,1940.0,1891.1,1913.4,2076.9,1012.0,FINEORG
2019-10-29,1969.0,1969.0,1890.65,1912.25,2076.9,1012.0,FINEORG
2019-10-27,1913.2,2010.0,1907.0,1951.1,2076.9,1012.0,FINEORG
2019-10-25,1910.0,1944.95,1863.4,1901.75,2076.9,1012.0,FINEORG
