DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2020-03-20,205.55,215.7,200.0,209.85,373.8,184.65,SBIN
2020-03-19,202.95,219.75,198.15,203.65,373.8,184.65,SBIN
2020-03-18,221.0,223.15,200.1,215.2,373.8,184.65,SBIN
2020-03-17,227.2,229.9,212.05,215.15,373.8,184.65,SBIN
2020-03-16,227.9,231.4,220.6,223.35,373.8,184.65,SBIN
2020-03-13,200.0,248.8,184.65,242.0,373.8,184.65,SBIN
2020-03-12,231.9,231.9,208.6,212.6,373.8,208.6,SBIN
2020-03-11,253.0,258.5,243.1,245.1,373.8,243.1,SBIN
2020-03-09,260.05,262.75,251.15,253.45,373.8,244.35,SBIN
2020-03-06,268.0,274.4,253.95,270.5,373.8,244.35,SBIN
2020-03-05,290.9,298.4,270.0,288.5,373.8,244.35,SBIN
2020-03-04,291.8,293.0,275.1,285.3,373.8,244.35,SBIN
2020-03-03,293.0,294.4,285.3,289.85,373.8,244.35,SBIN
2020-03-02,311.0,312.0,284.05,287.4,373.8,244.35,SBIN
2020-02-28,312.0,314.65,301.1,303.0,373.8,244.35,SBIN
2020-02-27,328.0,330.0,318.0,321.95,373.8,244.35,SBIN
2020-02-26,324.85,330.8,324.2,328.2,373.8,244.35,SBIN
2020-02-25,325.9,328.15,322.2,326.8,373.8,244.35,SBIN
2020-02-24,325.75,331.3,321.85,322.95,373.8,244.35,SBIN
2020-02-20,319.35,329.2,318.75,327.65,373.8,244.35,SBIN
2020-02-19,322.3,324.0,317.25,320.35,373.8,244.35,SBIN
2020-02-18,315.4,319.2,309.4,317.55,373.8,244.35,SBIN
2020-02-17,320.95,321.15,311.65,314.2,373.8,244.35,SBIN
2020-02-14,328.1,331.9,318.55,319.4,373.8,244.35,SBIN
2020-02-13,322.0,330.95,322.0,327.45,373.8,244.35,SBIN
2020-02-12,329.9,329.9,319.25,320.2,373.8,244.35,SBIN
2020-02-11,321.05,325.8,321.05,324.35,373.8,244.35,SBIN
2020-02-10,319.8,322.8,316.5,318.5,373.8,244.35,SBIN
2020-02-07,321.5,325.0,318.4,320.55,373.8,244.35,SBIN
2020-02-06,311.2,323.5,310.1,321.95,373.8,244.35,SBIN
2020-02-05,306.9,313.65,304.6,311.0,373.8,244.35,SBIN
2020-02-04,302.9,307.55,297.1,306.25,373.8,244.35,SBIN
2020-02-03,303.0,306.85,295.35,298.1,373.8,244.35,SBIN
2020-02-01,317.95,322.65,296.3,302.6,373.8,244.35,SBIN
2020-01-31,313.7,321.7,308.6,318.45,373.8,244.35,SBIN
2020-01-30,316.75,316.75,305.65,310.7,373.8,244.35,SBIN
2020-01-29,317.85,319.7,315.55,316.45,373.8,244.35,SBIN
2020-01-28,317.95,320.0,311.05,315.1,373.8,244.35,SBIN
2020-01-27,320.9,322.0,315.8,316.2,373.8,244.35,SBIN
2020-01-24,323.5,327.3,321.15,324.05,373.8,244.35,SBIN
2020-01-23,316.0,324.8,314.15,323.2,373.8,244.35,SBIN
2020-01-22,317.0,317.0,313.7,316.15,373.8,244.35,SBIN
2020-01-21,313.8,316.95,312.0,313.7,373.8,244.35,SBIN
2020-01-20,321.0,321.45,313.4,314.0,373.8,244.35,SBIN
2020-01-17,313.0,323.5,310.1,318.0,373.8,244.35,SBIN
2020-01-16,324.0,326.9,322.35,323.3,373.8,244.35,SBIN
2020-01-15,329.0,329.2,322.35,324.25,373.8,244.35,SBIN
2020-01-14,329.8,331.7,326.5,328.0,373.8,244.35,SBIN
2020-01-13,334.0,335.45,329.05,330.75,373.8,244.35,SBIN
2020-01-10,331.0,337.95,328.1,332.25,373.8,244.35,SBIN
2020-01-09,326.9,331.4,325.0,330.2,373.8,244.35,SBIN
2020-01-08,312.1,321.5,311.0,319.8,373.8,244.35,SBIN
2020-01-07,324.45,327.0,315.4,318.4,373.8,244.35,SBIN
2020-01-06,331.7,331.7,317.7,319.0,373.8,244.35,SBIN
2020-01-03,337.95,337.95,332.0,333.7,373.8,244.35,SBIN
2020-01-02,334.5,339.85,333.35,339.3,373.8,244.35,SBIN
2020-01-01,334.7,335.95,332.15,334.45,373.8,244.35,SBIN
2019-12-31,334.4,336.35,332.55,333.75,373.8,244.35,SBIN
2019-12-30,337.75,337.85,332.5,334.4,373.8,244.35,SBIN
2019-12-27,333.4,338.35,333.0,337.25,373.8,244.35,SBIN
2019-12-26,333.0,333.45,328.1,329.85,373.8,244.35,SBIN
2019-12-24,333.2,334.2,329.2,331.45,373.8,244.35,SBIN
2019-12-23,335.7,338.85,330.35,332.4,373.8,244.35,SBIN
2019-12-20,330.35,339.5,330.35,337.85,373.8,244.35,SBIN
2019-12-19,327.35,329.6,324.5,328.15,373.8,244.35,SBIN
2019-12-18,335.0,335.55,325.8,326.95,373.8,244.35,SBIN
2019-12-17,333.25,335.75,330.65,332.9,373.8,244.35,SBIN
2019-12-16,335.95,337.25,330.8,331.85,373.8,244.35,SBIN
2019-12-13,325.2,333.45,325.0,332.55,373.8,244.35,SBIN
2019-12-12,314.0,322.95,313.55,321.85,373.8,244.35,SBIN
2019-12-11,311.2,315.75,308.0,312.8,373.8,244.35,SBIN
2019-12-10,317.2,322.65,312.25,313.4,373.8,244.35,SBIN
2019-12-09,318.95,327.65,314.75,316.7,373.8,244.35,SBIN
2019-12-06,336.7,337.65,318.0,320.0,373.8,244.35,SBIN
2019-12-05,343.0,344.6,335.15,336.2,373.8,244.35,SBIN
2019-12-04,334.1,342.95,331.85,341.85,373.8,244.35,SBIN
2019-12-03,341.0,342.95,333.35,336.25,373.8,244.35,SBIN
2019-12-02,343.9,344.35,336.2,338.5,373.8,244.35,SBIN
2019-11-29,348.85,348.85,340.6,341.85,373.8,244.35,SBIN
2019-11-28,346.85,351.0,344.5,349.3,373.8,244.35,SBIN
2019-11-27,335.95,345.55,334.05,343.55,373.8,244.35,SBIN
2019-11-26,338.0,340.0,332.6,335.5,373.8,244.35,SBIN
2019-11-25,329.0,337.5,328.35,336.1,373.8,244.35,SBIN
2019-11-22,331.45,333.8,328.25,329.3,373.8,244.35,SBIN
2019-11-21,329.25,332.85,326.55,331.35,373.8,244.35,SBIN
2019-11-20,332.0,332.5,325.1,328.8,373.8,244.35,SBIN
2019-11-19,325.8,331.8,322.1,330.4,373.8,244.35,SBIN
2019-11-18,324.0,329.85,323.75,325.1,373.8,244.35,SBIN
2019-11-15,312.0,323.7,310.05,321.9,373.8,244.35,SBIN
2019-11-14,306.95,309.5,299.7,306.0,373.8,244.35,SBIN
2019-11-13,316.05,318.6,305.65,306.8,373.8,244.35,SBIN
2019-11-11,314.7,319.65,313.1,318.25,373.8,244.35,SBIN
2019-11-08,316.2,321.0,314.5,316.0,373.8,244.35,SBIN
2019-11-07,318.25,323.3,316.8,318.15,373.8,244.35,SBIN
2019-11-06,318.95,318.95,314.0,317.55,373.8,244.35,SBIN
2019-11-05,313.9,322.0,312.8,319.2,373.8,244.35,SBIN
2019-11-04,316.0,319.0,312.35,314.3,373.8,244.35,SBIN
2019-11-01,312.4,315.0,308.6,313.55,373.8,244.35,SBIN
2019-10-31,293.35,317.8,292.75,312.4,373.8,244.35,SBIN
2019-10-30,283.0,291.0,279.25,289.9,373.8,244.35,SBIN
2019-10-29,283.15,285.0,278.55,280.65,373.8,244.35,SBIN
2019-10-27,284.95,284.95,280.25,281.8,373.8,244.35,SBIN
2019-10-25,265.8,284.15,263.55,281.55,373.8,244.35,SBIN
2019-10-24,276.0,277.65,248.65,262.5,373.8,244.35,SBIN
2019-10-23,270.75,277.8,268.65,275.45,373.8,244.35,SBIN
2019-10-22,270.4,275.0,268.5,270.5,373.8,244.35,SBIN
2019-10-18,264.4,271.35,263.2,269.65,373.8,244.35,SBIN
2019-10-17,256.4,266.0,255.6,265.45,373.8,244.35,SBIN
2019-10-16,259.3,261.95,255.0,256.05,373.8,244.35,SBIN
2019-10-15,256.45,259.9,254.8,258.45,373.8,244.35,SBIN
2019-10-14,256.95,259.4,254.0,255.45,373.8,244.35,SBIN
2019-10-11,256.2,261.4,251.5,254.55,373.8,244.35,SBIN
2019-10-10,258.0,258.0,252.6,254.15,373.8,244.35,SBIN
2019-10-09,250.1,262.0,244.35,260.95,373.8,244.35,SBIN
2019-10-07,251.5,253.4,246.85,249.1,373.8,245.55,SBIN
2019-10-04,258.5,260.5,248.55,249.95,373.8,245.55,SBIN
2019-10-03,254.0,260.7,250.1,254.15,373.8,245.55,SBIN
2019-10-01,272.75,275.5,245.55,255.95,373.8,245.55,SBIN
2019-09-30,281.4,281.85,270.15,270.8,373.8,247.4,SBIN
2019-09-27,282.7,286.05,280.0,281.2,373.8,247.4,SBIN
2019-09-26,281.5,289.9,277.0,281.85,373.8,247.4,SBIN
2019-09-25,297.0,297.5,278.7,280.25,373.8,247.4,SBIN
2019-09-24,313.15,315.15,300.8,302.6,373.8,247.4,SBIN
2019-09-23,307.55,316.0,300.4,313.75,373.8,247.4,SBIN
2019-09-20,274.5,307.65,268.4,301.7,373.8,247.4,SBIN
2019-09-19,279.95,279.95,273.05,274.05,373.8,247.4,SBIN
2019-09-18,277.2,282.95,274.4,280.4,373.8,247.4,SBIN
2019-09-17,285.0,286.45,273.0,273.95,373.8,247.4,SBIN
2019-09-16,288.2,290.45,283.8,284.7,373.8,247.4,SBIN
2019-09-13,285.0,292.5,282.0,291.7,373.8,247.4,SBIN
2019-09-12,286.75,288.8,284.15,287.05,373.8,247.4,SBIN
2019-09-11,278.5,285.85,278.5,285.25,373.8,247.4,SBIN
2019-09-09,273.95,278.7,271.0,278.0,373.8,247.4,SBIN
2019-09-06,275.05,277.0,272.1,273.95,373.8,247.4,SBIN
2019-09-05,275.0,276.35,271.05,273.3,373.8,247.4,SBIN
2019-09-04,269.7,275.85,267.25,275.1,373.8,247.4,SBIN
2019-09-03,272.0,272.0,266.95,268.4,373.8,247.4,SBIN
2019-08-30,275.95,277.95,266.85,273.85,373.8,247.4,SBIN
2019-08-29,283.2,284.3,273.3,274.5,373.8,247.4,SBIN
2019-08-28,286.65,286.65,282.2,284.9,373.8,247.4,SBIN
2019-08-27,284.0,288.0,282.6,285.7,373.8,247.4,SBIN
2019-08-26,288.0,288.0,270.0,280.2,373.8,247.4,SBIN
2019-08-23,267.1,275.25,262.7,271.1,373.8,247.4,SBIN
2019-08-22,278.3,278.3,267.3,268.55,373.8,247.4,SBIN
2019-08-21,285.5,285.6,276.3,277.4,373.8,247.4,SBIN
2019-08-20,287.3,287.4,280.65,283.7,373.8,247.4,SBIN
2019-08-19,292.0,292.4,286.0,286.85,373.8,247.4,SBIN
2019-08-16,287.95,292.8,284.3,290.9,373.8,247.4,SBIN
2019-08-14,285.05,291.25,284.5,289.75,373.8,247.4,SBIN
2019-08-13,290.9,291.55,282.5,283.35,373.8,247.4,SBIN
2019-08-09,296.3,298.0,290.05,291.35,373.8,247.4,SBIN
2019-08-08,290.0,295.5,285.6,294.35,373.8,247.4,SBIN
2019-08-07,302.4,302.45,288.8,289.9,373.8,247.4,SBIN
2019-08-06,298.8,304.25,297.25,301.4,373.8,247.4,SBIN
2019-08-05,298.45,302.85,291.7,300.25,373.8,247.4,SBIN
2019-08-02,315.55,322.25,307.05,308.45,373.8,247.4,SBIN
2019-08-01,330.8,331.5,311.35,317.15,373.8,247.4,SBIN
2019-07-31,325.1,333.2,323.9,332.2,373.8,247.4,SBIN
2019-07-30,344.4,346.7,325.85,327.55,373.8,247.4,SBIN
2019-07-29,343.95,346.55,336.8,343.8,373.8,247.4,SBIN
2019-07-26,340.8,346.15,340.5,342.6,373.8,247.4,SBIN
2019-07-25,341.7,343.2,337.4,341.3,373.8,247.4,SBIN
2019-07-24,341.85,344.7,336.25,339.6,373.8,247.4,SBIN
2019-07-23,351.2,353.0,341.0,342.2,373.8,247.4,SBIN
2019-07-22,356.0,359.55,348.7,350.85,373.8,247.4,SBIN
2019-07-19,365.1,366.05,355.15,356.0,373.8,247.4,SBIN
2019-07-18,371.95,373.8,362.55,363.65,373.8,247.4,SBIN
2019-07-17,364.05,373.55,363.05,372.4,373.6,247.4,SBIN
2019-07-16,358.5,366.0,357.65,364.35,373.6,247.4,SBIN
2019-07-15,364.1,365.0,357.6,360.05,373.6,247.4,SBIN
2019-07-12,363.0,366.55,361.5,363.6,373.6,247.4,SBIN
2019-07-11,358.5,364.0,357.0,363.2,373.6,247.4,SBIN
2019-07-10,360.55,361.5,351.3,354.2,373.6,247.4,SBIN
2019-07-09,353.5,360.0,352.5,359.5,373.6,247.4,SBIN
2019-07-08,368.0,368.45,353.5,355.3,373.6,247.4,SBIN
2019-07-05,369.45,373.6,366.0,370.65,373.6,247.4,SBIN
2019-07-04,367.25,370.9,366.2,367.4,370.9,247.4,SBIN
2019-07-03,365.25,366.7,363.0,366.15,366.7,247.4,SBIN
2019-07-02,362.15,365.0,360.35,364.5,365.0,247.4,SBIN
2019-07-01,362.8,363.0,358.5,361.55,365.0,247.4,SBIN
2019-06-28,362.2,365.0,358.7,361.25,365.0,247.4,SBIN
2019-06-27,358.1,363.0,357.25,362.15,364.0,247.4,SBIN
2019-06-26,355.75,359.0,354.3,358.15,364.0,247.4,SBIN
2019-06-25,352.7,357.0,351.25,356.55,364.0,247.4,SBIN
2019-06-24,350.0,354.75,349.65,353.2,364.0,247.4,SBIN
2019-06-21,344.8,350.7,343.15,349.4,364.0,247.4,SBIN
2019-06-20,341.0,346.25,335.6,345.15,364.0,247.4,SBIN
2019-06-19,343.1,345.2,335.5,338.85,364.0,247.4,SBIN
2019-06-18,335.5,344.0,333.8,340.05,364.0,247.4,SBIN
2019-06-17,343.75,343.75,336.95,337.85,364.0,247.4,SBIN
2019-06-14,345.5,346.35,342.55,343.8,364.0,247.4,SBIN
2019-06-13,343.0,347.45,339.8,346.5,364.0,247.4,SBIN
2019-06-12,346.95,346.95,342.3,344.0,364.0,247.4,SBIN
2019-06-11,345.05,348.3,342.85,347.1,364.0,247.4,SBIN
2019-06-10,346.0,347.3,340.15,344.3,364.0,247.4,SBIN
2019-06-07,337.0,342.75,336.0,342.05,364.0,247.4,SBIN
2019-06-06,349.0,349.6,335.9,336.9,364.0,247.4,SBIN
2019-06-04,354.0,357.2,351.4,352.4,364.0,247.4,SBIN
2019-06-03,352.35,356.45,349.65,355.45,364.0,247.4,SBIN
2019-05-31,354.35,357.9,344.65,352.5,364.0,247.4,SBIN
2019-05-30,349.75,355.0,347.5,353.55,364.0,247.4,SBIN
2019-05-29,358.0,359.0,347.15,348.65,364.0,247.4,SBIN
2019-05-28,360.95,361.7,356.65,360.05,364.0,247.4,SBIN
2019-05-27,355.05,362.5,354.0,361.7,364.0,247.4,SBIN
2019-05-24,344.95,357.0,343.5,355.35,364.0,240.3,SBIN
2019-05-23,353.0,364.0,339.2,342.2,364.0,240.3,SBIN
2019-05-22,338.9,342.6,333.55,341.1,347.55,240.3,SBIN
2019-05-21,345.9,347.55,336.25,337.55,347.55,240.3,SBIN
2019-05-20,332.0,345.8,331.0,344.7,345.8,240.3,SBIN
2019-05-17,315.65,321.95,313.45,319.25,339.65,237.85,SBIN
2019-05-16,312.5,317.1,309.55,315.75,339.65,237.85,SBIN
2019-05-15,316.2,317.9,311.0,312.1,339.65,237.85,SBIN
2019-05-14,307.85,316.75,305.1,314.65,339.65,237.85,SBIN
2019-05-13,310.0,314.2,305.3,306.9,339.65,237.85,SBIN
2019-05-10,301.8,310.75,292.45,308.05,339.65,237.85,SBIN
2019-05-09,297.6,301.0,296.1,299.3,339.65,237.85,SBIN
2019-05-08,303.95,305.3,296.75,298.25,339.65,237.85,SBIN
2019-05-07,310.7,313.4,303.75,305.45,339.65,237.85,SBIN
2019-05-06,306.8,310.3,305.9,308.75,339.65,237.85,SBIN
2019-05-03,309.0,311.8,308.8,310.0,339.65,237.85,SBIN
2019-05-02,308.05,311.4,305.65,308.15,339.65,237.85,SBIN
2019-04-30,312.0,312.0,305.0,309.95,339.65,237.85,SBIN
2019-04-26,306.9,313.5,306.6,312.5,339.65,232.5,SBIN
2019-04-25,311.0,312.0,305.4,306.2,339.65,232.5,SBIN
2019-04-24,305.85,311.95,303.6,310.75,339.65,232.5,SBIN
2019-04-23,310.05,313.75,304.6,305.25,339.65,232.5,SBIN
2019-04-22,308.8,312.3,306.35,310.05,339.65,232.5,SBIN
2019-04-18,315.8,315.8,308.05,310.8,339.65,232.5,SBIN
2019-04-16,316.6,319.4,314.7,315.75,339.65,232.5,SBIN
2019-04-15,315.5,318.7,313.75,315.6,339.65,232.5,SBIN
2019-04-12,314.6,316.4,311.2,315.25,339.65,232.5,SBIN
2019-04-11,311.0,315.4,308.7,314.9,339.65,232.5,SBIN
2019-04-10,314.85,317.05,310.0,310.9,339.65,232.5,SBIN
2019-04-09,313.95,315.7,308.1,314.75,339.65,232.5,SBIN
2019-04-08,318.25,319.25,311.1,312.8,339.65,232.5,SBIN
2019-04-05,323.7,323.7,315.0,317.05,339.65,232.5,SBIN
2019-04-04,321.5,325.75,318.3,321.8,339.65,232.5,SBIN
2019-04-03,331.0,332.45,319.5,320.5,339.65,232.5,SBIN
2019-04-02,323.65,331.0,322.1,329.0,339.65,232.5,SBIN
2019-04-01,321.8,327.65,321.05,322.75,339.65,232.5,SBIN
2019-03-29,321.1,323.0,316.25,320.75,339.65,232.5,SBIN
2019-03-28,310.1,339.65,309.05,319.0,339.65,232.5,SBIN
2019-03-27,305.25,310.85,304.35,308.8,326.4,232.5,SBIN
2019-03-26,294.75,305.0,294.75,303.5,326.4,232.5,SBIN
2019-03-25,294.0,295.45,292.2,294.0,326.4,232.5,SBIN
2019-03-22,304.3,306.4,296.95,298.05,326.4,232.35,SBIN
2019-03-20,302.8,304.65,300.05,303.8,326.4,232.35,SBIN
2019-03-19,300.15,306.6,299.15,303.05,326.4,232.35,SBIN
2019-03-18,298.9,300.9,294.65,298.95,326.4,232.35,SBIN
2019-03-15,292.6,301.3,292.5,298.4,326.4,232.35,SBIN
2019-03-14,294.5,294.7,290.75,291.9,326.4,232.35,SBIN
2019-03-13,288.1,294.4,284.7,293.15,326.4,232.35,SBIN
2019-03-12,289.2,289.9,285.75,286.9,326.4,232.35,SBIN
2019-03-11,285.3,289.0,283.5,287.35,326.4,232.35,SBIN
2019-03-08,281.85,284.25,279.6,281.2,326.4,232.35,SBIN
2019-03-07,279.45,282.5,277.65,281.75,326.4,232.35,SBIN
2019-03-06,277.3,282.55,276.45,278.1,326.4,232.35,SBIN
2019-03-05,271.7,277.85,271.2,276.45,326.4,232.35,SBIN
2019-03-01,270.55,274.6,270.1,272.95,326.4,232.35,SBIN
2019-02-28,267.7,270.8,267.65,269.05,326.4,232.35,SBIN
2019-02-27,268.0,272.7,266.55,267.65,326.4,232.35,SBIN
2019-02-26,266.8,268.2,263.25,266.35,326.4,232.35,SBIN
2019-02-25,271.3,271.4,267.9,270.15,326.4,232.35,SBIN
2019-02-22,267.9,271.9,267.6,270.95,326.4,232.35,SBIN
2019-02-21,270.3,271.0,267.3,268.0,326.4,232.35,SBIN
2019-02-20,264.5,268.3,264.3,267.7,326.4,232.35,SBIN
2019-02-19,260.9,267.5,260.3,262.9,326.4,232.35,SBIN
2019-02-18,264.4,265.5,258.8,259.95,326.4,232.35,SBIN
2019-02-15,268.85,268.85,261.3,262.95,326.4,232.35,SBIN
2019-02-14,268.0,268.35,263.65,267.1,326.4,232.35,SBIN
2019-02-13,276.5,276.7,266.7,268.2,326.4,232.35,SBIN
2019-02-12,280.65,282.2,274.65,275.4,326.4,232.35,SBIN
2019-02-11,285.95,285.95,280.0,280.5,326.4,232.35,SBIN
2019-02-08,285.6,288.0,282.2,286.0,326.4,232.35,SBIN
2019-02-07,289.4,294.0,286.6,287.4,326.4,232.35,SBIN
2019-02-06,285.85,289.75,283.5,289.05,326.4,232.35,SBIN
2019-02-05,284.2,287.0,283.0,284.65,326.4,232.35,SBIN
2019-02-04,282.4,285.2,277.85,283.95,326.4,232.35,SBIN
2019-02-01,296.9,302.7,282.0,284.4,326.4,232.35,SBIN
2019-01-31,290.0,294.8,288.0,293.65,326.4,232.35,SBIN
2019-01-30,281.2,289.4,280.25,287.45,326.4,232.35,SBIN
2019-01-29,281.0,286.0,276.55,280.6,326.4,232.35,SBIN
2019-01-28,285.65,286.6,277.3,281.6,326.4,232.35,SBIN
2019-01-25,289.6,291.0,283.2,285.4,332.75,232.35,SBIN
2019-01-24,286.65,289.9,285.5,288.05,332.75,232.35,SBIN
2019-01-23,290.45,292.95,285.5,286.65,332.75,232.35,SBIN
2019-01-22,293.0,293.0,288.2,290.25,332.75,232.35,SBIN
2019-01-21,295.9,296.75,291.45,292.45,332.75,232.35,SBIN
2019-01-18,298.75,299.85,294.25,294.95,332.75,232.35,SBIN
2019-01-17,303.9,304.35,295.6,297.4,332.75,232.35,SBIN
2019-01-16,303.0,306.65,302.1,303.15,332.75,232.35,SBIN
2019-01-15,302.0,303.6,301.1,301.65,332.75,232.35,SBIN
2019-01-14,301.0,303.6,299.55,300.4,332.75,232.35,SBIN
